SAMPID,region,sex
GTEX-1117F-0011-R10a-SM-AHZ7F,Frontal Cortex,Female
GTEX-1117F-0011-R10b-SM-CYKQ8,Frontal Cortex,Female
GTEX-1117F-3226-SM-5N9CT,Cortex,Female
GTEX-111FC-0011-R10a-SM-AHZ7K,Frontal Cortex,Male
GTEX-111FC-0011-R10a-SM-CYKQ9,Frontal Cortex,Male
GTEX-111FC-3126-SM-5GZZ2,Cortex,Male
GTEX-111FC-3326-SM-5GZYV,Cerebellum,Male
GTEX-1128S-2726-SM-5H12C,Cortex,Female
GTEX-1128S-2826-SM-5N9DI,Cerebellum,Female
GTEX-117XS-0011-R10a-SM-AHZ7G,Frontal Cortex,Male
GTEX-117XS-3026-SM-5N9CA,Cortex,Male
GTEX-117XS-3026-SM-CYKOR,Cortex,Male
GTEX-117XS-3126-SM-5GIDP,Cerebellum,Male
GTEX-117YW-2926-SM-5GIEQ,Cortex,Male
GTEX-1192X-0011-R10a-SM-CYKSL,Frontal Cortex,Male
GTEX-1192X-0011-R10a-SM-DO941,Frontal Cortex,Male
GTEX-1192X-0011-R11b-SM-DO935,Cerebellar Hemi.,Male
GTEX-1192X-0011-R5a-SM-DNZZA,Caudate,Male
GTEX-1192X-0011-R6a-SM-DNZZB,Nucleus Accumbens,Male
GTEX-1192X-0011-R7b-SM-DNZZC,Putamen,Male
GTEX-1192X-0011-R8b-SM-DO11U,Hypothalamus,Male
GTEX-1192X-0011-R9b-SM-DO934,Spinal Cord,Male
GTEX-1192X-3126-SM-5N9BY,Cortex,Male
GTEX-1192X-3226-SM-5987D,Cerebellum,Male
GTEX-11DXW-0011-R10a-SM-AHZNX,Frontal Cortex,Male
GTEX-11DXW-0011-R1a-SM-DNZZD,Hippocampus,Male
GTEX-11DXW-0011-R3b-SM-DNZZE,Ant. Cing. Ctx,Male
GTEX-11DXW-0011-R5b-SM-DO11D,Caudate,Male
GTEX-11DXW-0011-R6a-SM-DO11N,Nucleus Accumbens,Male
GTEX-11DXW-0011-R7b-SM-DO119,Putamen,Male
GTEX-11DXW-1026-SM-5H11K,Cerebellum,Male
GTEX-11DXW-1126-SM-5H12Q,Cortex,Male
GTEX-11DXW-1126-SM-CYKSD,Cortex,Male
GTEX-11DXY-0011-R10b-SM-DO12C,Frontal Cortex,Male
GTEX-11DXY-0011-R11a-SM-DNZZN,Cerebellar Hemi.,Male
GTEX-11DXY-0011-R5b-SM-DNZZL,Caudate,Male
GTEX-11DXY-0011-R6a-SM-DNZZF,Nucleus Accumbens,Male
GTEX-11DXY-0011-R7a-SM-DO11L,Putamen,Male
GTEX-11DXY-0011-R8a-SM-DO11M,Hypothalamus,Male
GTEX-11DXY-3126-SM-5N9BT,Cerebellum,Male
GTEX-11DXY-3226-SM-5GIDE,Cortex,Male
GTEX-11DYG-0011-R10b-SM-DNZZO,Frontal Cortex,Male
GTEX-11DYG-0011-R11a-SM-DNZZP,Cerebellar Hemi.,Male
GTEX-11DYG-0011-R5a-SM-DO928,Caudate,Male
GTEX-11DYG-0011-R6a-SM-DO936,Nucleus Accumbens,Male
GTEX-11DYG-0011-R7b-SM-EXUS6,Putamen,Male
GTEX-11DYG-0011-R8a-SM-DO93F,Hypothalamus,Male
GTEX-11DYG-2926-SM-5H132,Cerebellum,Male
GTEX-11DZ1-0011-R10b-SM-DO943,Frontal Cortex,Male
GTEX-11DZ1-0011-R11b-SM-DO11W,Cerebellar Hemi.,Male
GTEX-11DZ1-0011-R2a-SM-DNZZM,Substantia Nigra,Male
GTEX-11DZ1-0011-R3a-SM-DNZYY,Ant. Cing. Ctx,Male
GTEX-11DZ1-0011-R5a-SM-DO11J,Caudate,Male
GTEX-11DZ1-0011-R6b-SM-DNZZG,Nucleus Accumbens,Male
GTEX-11DZ1-0011-R7a-SM-DNZZH,Putamen,Male
GTEX-11DZ1-0011-R8b-SM-DNZZI,Hypothalamus,Male
GTEX-11DZ1-0011-R9a-SM-DO933,Spinal Cord,Male
GTEX-11DZ1-2926-SM-5A5KI,Cerebellum,Male
GTEX-11EI6-0011-R10a-SM-CYKQP,Frontal Cortex,Male
GTEX-11EI6-0011-R10a-SM-DO93R,Frontal Cortex,Male
GTEX-11EI6-0011-R11a-SM-DO11V,Cerebellar Hemi.,Male
GTEX-11EI6-0011-R1a-SM-DO93L,Hippocampus,Male
GTEX-11EI6-0011-R8a-SM-DO93M,Hypothalamus,Male
GTEX-11EI6-2926-SM-5985U,Cerebellum,Male
GTEX-11EI6-3026-SM-5GZZO,Cortex,Male
GTEX-11EMC-0011-R10a-SM-DNZZJ,Frontal Cortex,Female
GTEX-11EMC-0011-R11b-SM-DNZZK,Cerebellar Hemi.,Female
GTEX-11EMC-0011-R2b-SM-DO114,Substantia Nigra,Female
GTEX-11EMC-0011-R8b-SM-DO91Z,Hypothalamus,Female
GTEX-11EMC-0011-R9b-SM-DO921,Spinal Cord,Female
GTEX-11EMC-3226-SM-5EGKW,Cortex,Female
GTEX-11EMC-3326-SM-5P9JH,Cerebellum,Female
GTEX-11EQ8-2826-SM-5N9C1,Cerebellum,Male
GTEX-11GS4-0011-R10a-SM-AHZ7I,Frontal Cortex,Male
GTEX-11GS4-0011-R1a-SM-DO129,Hippocampus,Male
GTEX-11GS4-0011-R2a-SM-DO942,Substantia Nigra,Male
GTEX-11GS4-3126-SM-5A5LH,Cortex,Male
GTEX-11GSO-0011-R10a-SM-AHZ7H,Frontal Cortex,Male
GTEX-11GSO-0011-R1b-SM-57WD3,Hippocampus,Male
GTEX-11GSO-0011-R2a-SM-57WDF,Substantia Nigra,Male
GTEX-11GSO-0011-R3b-SM-57WB2,Ant. Cing. Ctx,Male
GTEX-11GSO-2926-SM-5HL73,Cortex,Male
GTEX-11GSO-2926-SM-CYKQT,Cortex,Male
GTEX-11GSO-3026-SM-5Q5AL,Cerebellum,Male
GTEX-11GSP-0011-R10a-SM-5NQ7J,Frontal Cortex,Female
GTEX-11GSP-0011-R11b-SM-5NQ7V,Cerebellar Hemi.,Female
GTEX-11GSP-0011-R1a-SM-9QEJ3,Hippocampus,Female
GTEX-11GSP-0011-R2b-SM-9QEGE,Substantia Nigra,Female
GTEX-11GSP-0011-R3a-SM-9QEGF,Ant. Cing. Ctx,Female
GTEX-11GSP-0011-R5a-SM-57WBE,Caudate,Female
GTEX-11GSP-0011-R6b-SM-57WBQ,Nucleus Accumbens,Female
GTEX-11GSP-0011-R7b-SM-57WC3,Putamen,Female
GTEX-11GSP-0011-R8b-SM-5NQ79,Hypothalamus,Female
GTEX-11GSP-0011-R9b-SM-5NQ77,Spinal Cord,Female
GTEX-11GSP-3126-SM-5A5LL,Cerebellum,Female
GTEX-11GSP-3226-SM-5986O,Cortex,Female
GTEX-11H98-0011-R10b-SM-5NQ98,Frontal Cortex,Male
GTEX-11H98-0011-R11b-SM-5NQ6U,Cerebellar Hemi.,Male
GTEX-11H98-0011-R5b-SM-57WCF,Caudate,Male
GTEX-11H98-0011-R8a-SM-5NQ8V,Hypothalamus,Male
GTEX-11NUK-0011-R4a-SM-DO12B,Amygdala,Male
GTEX-11NUK-0011-R5a-SM-DO93N,Caudate,Male
GTEX-11NUK-0011-R6a-SM-DO93O,Nucleus Accumbens,Male
GTEX-11NUK-0011-R7a-SM-DO93P,Putamen,Male
GTEX-11NUK-2926-SM-5A5MD,Cortex,Male
GTEX-11NUK-3026-SM-5986K,Cerebellum,Male
GTEX-11NV4-0011-R5a-SM-5NQ88,Caudate,Male
GTEX-11NV4-0011-R6a-SM-57WD5,Nucleus Accumbens,Male
GTEX-11NV4-0011-R7a-SM-57WDH,Putamen,Male
GTEX-11NV4-2126-SM-5N9DS,Cortex,Male
GTEX-11NV4-2226-SM-5BC4T,Cerebellum,Male
GTEX-11O72-0011-R5a-SM-DO922,Caudate,Male
GTEX-11O72-0011-R6a-SM-DNZZQ,Nucleus Accumbens,Male
GTEX-11O72-2826-SM-5HL6W,Cerebellum,Male
GTEX-11O72-2926-SM-5BC4V,Cortex,Male
GTEX-11OC5-0626-SM-5HL6M,Cerebellum,Male
GTEX-11OC5-0726-SM-5P9JK,Cortex,Male
GTEX-11OF3-0011-R11a-SM-57WCR,Cerebellar Hemi.,Male
GTEX-11OF3-0011-R5a-SM-57WB4,Caudate,Male
GTEX-11OF3-0011-R6b-SM-57WBG,Nucleus Accumbens,Male
GTEX-11OF3-0011-R7a-SM-57WCG,Putamen,Male
GTEX-11OF3-0011-R8b-SM-57WCS,Hypothalamus,Male
GTEX-11OF3-2926-SM-5HL78,Cortex,Male
GTEX-11OF3-3126-SM-5GU5E,Cerebellum,Male
GTEX-11ONC-0011-R1a-SM-57WD4,Hippocampus,Male
GTEX-11ONC-0011-R4b-SM-DO93H,Amygdala,Male
GTEX-11ONC-0011-R5b-SM-DO93I,Caudate,Male
GTEX-11ONC-0011-R6a-SM-DO12A,Nucleus Accumbens,Male
GTEX-11ONC-0011-R7b-SM-DO93J,Putamen,Male
GTEX-11ONC-0011-R8b-SM-5NQ87,Hypothalamus,Male
GTEX-11ONC-0011-R9b-SM-5NQ8J,Spinal Cord,Male
GTEX-11ONC-2926-SM-5P9JM,Cortex,Male
GTEX-11ONC-3026-SM-5985W,Cerebellum,Male
GTEX-11PRG-0011-R10a-SM-AHZML,Frontal Cortex,Male
GTEX-11PRG-0011-R10b-SM-CYKQG,Frontal Cortex,Male
GTEX-11PRG-0011-R10b-SM-DO93G,Frontal Cortex,Male
GTEX-11PRG-0011-R11b-SM-DNZZY,Cerebellar Hemi.,Male
GTEX-11PRG-0011-R2a-SM-69LQ5,Substantia Nigra,Male
GTEX-11PRG-0011-R4a-SM-DNZZR,Amygdala,Male
GTEX-11PRG-0011-R5b-SM-DNZZS,Caudate,Male
GTEX-11PRG-0011-R6b-SM-DO923,Nucleus Accumbens,Male
GTEX-11PRG-0011-R7a-SM-DNZZT,Putamen,Male
GTEX-11PRG-2826-SM-5BC54,Cerebellum,Male
GTEX-11PRG-2926-SM-5987A,Cortex,Male
GTEX-11TTK-0011-R10b-SM-DO925,Frontal Cortex,Female
GTEX-11TTK-0011-R11b-SM-DO112,Cerebellar Hemi.,Female
GTEX-11TTK-0011-R4a-SM-DNZZU,Amygdala,Female
GTEX-11TTK-0011-R5a-SM-DNZZV,Caudate,Female
GTEX-11TTK-0011-R6b-SM-DNZZW,Nucleus Accumbens,Female
GTEX-11TTK-0011-R7b-SM-DNZZZ,Putamen,Female
GTEX-11TTK-0011-R8b-SM-DO111,Hypothalamus,Female
GTEX-11TTK-2826-SM-5GU5K,Cerebellum,Female
GTEX-11TTK-2926-SM-5PNYP,Cortex,Female
GTEX-11TUW-0011-R10a-SM-DO924,Frontal Cortex,Male
GTEX-11TUW-0011-R11b-SM-DNZZX,Cerebellar Hemi.,Male
GTEX-11TUW-0011-R1a-SM-DO92S,Hippocampus,Male
GTEX-11TUW-0011-R2b-SM-DO92T,Substantia Nigra,Male
GTEX-11TUW-0011-R3a-SM-DO92U,Ant. Cing. Ctx,Male
GTEX-11TUW-0011-R5b-SM-5BC6Q,Caudate,Male
GTEX-11TUW-3126-SM-5GU4Y,Cortex,Male
GTEX-11UD1-0011-R1b-SM-5BC7D,Hippocampus,Female
GTEX-11UD1-0011-R2b-SM-5BC6O,Substantia Nigra,Female
GTEX-11UD1-0011-R3a-SM-5BC6S,Ant. Cing. Ctx,Female
GTEX-11UD1-0011-R5b-SM-5P9FP,Caudate,Female
GTEX-11UD2-0011-R9b-SM-DO926,Spinal Cord,Male
GTEX-11WQC-0011-R10a-SM-57WCT,Frontal Cortex,Male
GTEX-11WQC-0011-R10a-SM-AHZ6D,Frontal Cortex,Male
GTEX-11WQC-0011-R10a-SM-CYKQY,Frontal Cortex,Male
GTEX-11WQC-0011-R11b-SM-57WD6,Cerebellar Hemi.,Male
GTEX-11WQC-0011-R1b-SM-DO932,Hippocampus,Male
GTEX-11WQC-0011-R2a-SM-DO927,Substantia Nigra,Male
GTEX-11WQC-0011-R3a-SM-DO11T,Ant. Cing. Ctx,Male
GTEX-11WQC-0011-R5a-SM-5BC74,Caudate,Male
GTEX-11WQC-0011-R6a-SM-5BC77,Nucleus Accumbens,Male
GTEX-11WQC-0011-R7b-SM-5BC7A,Putamen,Male
GTEX-11WQC-0011-R8b-SM-57WCH,Hypothalamus,Male
