gene,region,n_f,n_m,mean_md,ci_lo,ci_hi,ci_width,bimod,skewness,crosses_zero
OPRD1,Hypothalamus,55,147,-0.1345348988765104,-0.27311491012087635,0.006964980890423908,0.28007989101130026,0.33804736812486585,0.011752098506658329,1
OPRD1,Amygdala,45,107,0.04255387600406931,-0.12571468876815697,0.21198109270002505,0.337695781468182,0.33365986027789146,0.013950692415048298,1
OPRD1,Hippocampus,54,143,-0.029107547091759025,-0.2062996153174589,0.15308685202685937,0.3593864673443183,0.33476490416007054,0.07059513274422509,1
OPRD1,Ant. Cing. Ctx,48,128,-0.11038172391537668,-0.3401938377661278,0.12519800045352789,0.4653918382196557,0.33100759302302324,-0.02821513961786954,1
OPRD1,Frontal Cortex,56,153,-0.2174952312313041,-0.4533014462654989,0.026401134962444027,0.4797025812279429,0.3397692987865114,0.019181094323090515,1
OPRD1,Cortex,74,181,-0.17972198174077383,-0.3700344627744477,0.010930641386017804,0.3809651041604655,0.3360170741353343,-0.055752010062578454,1
OPRD1,Caudate,63,183,0.004333036159147351,-0.1732077268626979,0.1850661800321429,0.3582739068948408,0.3214163345932606,0.07026927156833734,1
OPRD1,Putamen,49,156,-0.05305347067500655,-0.25802974850718924,0.15760400716873765,0.41563375567592686,0.3262697614265877,0.09870904432468523,1
OPRD1,Nucleus Accumbens,64,182,-0.012007287670774133,-0.1810288767606818,0.15546583245073978,0.33649470921142155,0.32325516179233676,-0.016188960082740726,1
OPRD1,Cerebellum,67,174,-0.011578024860192344,-0.030629503876131527,0.007880717316987581,0.03851022119311911,0.3288872005247485,-0.012183808818590965,1
OPRD1,Cerebellar Hemi.,58,157,0.045558363913872496,-0.012556437792557362,0.12358212855975892,0.13613856635231628,0.40420909946417755,0.5353716365921616,1
OPRD1,Substantia Nigra,38,101,0.06525550441150624,-0.08393548233641449,0.23799951146246975,0.32193499379888424,0.3440182327840682,0.3291425540976222,1
OPRD1,Spinal Cord,57,102,0.015018588508577355,-0.04432268532822727,0.07140493846277927,0.11572762379100654,0.3324705373971028,-0.15189250307269367,1
NGF,Hypothalamus,55,147,0.023798510897423623,-0.12004950580580782,0.18726098121528112,0.30731048702108893,0.35032050328358016,0.25023243835386705,1
NGF,Amygdala,45,107,0.1032206436986432,-0.08527820084304902,0.3397603970553627,0.4250385978984117,0.3601877982629185,0.33863491209443963,1
NGF,Hippocampus,54,143,-0.0658990835748331,-0.2454939118697544,0.11723649837600152,0.3627304102457559,0.3241237841595433,0.037893252959380286,1
NGF,Ant. Cing. Ctx,48,128,-0.027252680867460456,-0.17939365438489424,0.14786554788603204,0.3272592022709263,0.3389800296845921,0.27246062872684795,1
NGF,Frontal Cortex,56,153,0.052961887090805945,-0.09930467848444584,0.21709703144550688,0.3164017099299527,0.33489295872542135,0.09742311820417694,1
